,Date,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
69,2019-04-04,Lumbini Bikas Bank Ltd.,30,172.00,170.00,170.00,9065.00,1555668.00,171.00,-1.00 
70,2019-04-04,Lumbini General Insurance Co. Ltd.,28,512.00,498.00,508.00,5228.00,2640904.00,502.00,6.00 
71,2019-04-04,Machhapuchhre Bank Limited,195,234.00,228.00,230.00,64822.00,14990391.00,231.00,-1.00 
72,2019-04-04,Mahalaxmi Bikas Bank Ltd.,25,173.00,169.00,170.00,2745.00,469292.00,173.00,-3.00 
73,2019-04-04,Mahalxmi Bikas Bank Ltd. Promotor Share,1,115.00,115.00,115.00,65211.00,7499265.00,115.00,0.00 
74,2019-04-04,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,7,520.00,505.00,510.00,193.00,99832.00,515.00,-5.00 
75,2019-04-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,6,1231.00,1226.00,1231.00,50.00,60995.00,1226.00,5.00 
76,2019-04-04,Manjushree Finance Ltd.,16,113.00,111.00,111.00,11404.00,1268794.00,113.00,-2.00 
77,2019-04-04,Mega  Bank Nepal Ltd.,116,168.00,164.00,165.00,35400.00,5876928.00,165.00,0.00 
78,2019-04-04,Mero Microfinance Bittiya Sanstha Ltd.,17,551.00,544.00,550.00,680.00,374048.00,557.00,-7.00 
79,2019-04-04,Miteri Development Bank Limited,8,240.00,236.00,240.00,2474.00,589764.00,235.00,5.00 
80,2019-04-04,Muktinath Bikas Bank Ltd.,45,350.00,346.00,346.00,6194.00,2150308.00,346.00,0.00 
81,2019-04-04,Multipurpose Finance Company  Limited,2,153.00,150.00,150.00,75.00,11280.00,152.00,-2.00 
82,2019-04-04,Nabil Bank Limited,69,728.00,718.00,727.00,8188.00,5926768.00,724.00,3.00 
83,2019-04-04,NABIL Bank Limited Promotor Share,17,712.00,702.00,702.00,4350.00,3080574.00,705.00,-3.00 
84,2019-04-04,Nabil Equity Fund,5,8.08,8.00,8.03,24092.00,194070.47,8.09,-0.06 
85,2019-04-04,Nadep Laghubitta Bittiya Sanstha Ltd.,25,660.00,650.00,660.00,250.00,164110.00,660.00,0.00 
86,2019-04-04,NagBeli LaghuBitta Bikas Bank Ltd.,19,610.00,595.00,600.00,1211.00,725490.00,615.00,-15.00 
87,2019-04-04,National Hydro Power Company Limited,23,72.00,70.00,71.00,10285.00,730135.00,72.00,-1.00 
88,2019-04-04,National Life Insurance Co. Ltd.,30,579.00,570.00,575.00,4823.00,2756557.00,573.00,2.00 
89,2019-04-04,National Microfinance Bittiya Sanstha Ltd.,5,1645.00,1613.00,1626.00,158.00,255880.00,1626.00,0.00 
90,2019-04-04,Naya Nepal Laghubitta Bikas Bank Ltd.,6,440.00,430.00,430.00,185.00,80300.00,435.00,-5.00 
91,2019-04-04,Neco Insurance Co. Ltd.,39,518.00,512.00,512.00,11661.00,5994282.00,518.00,-6.00 
92,2019-04-04,Nepal Bangladesh Bank Limited,138,210.00,205.00,205.00,46433.00,9601081.00,207.00,-2.00 
93,2019-04-04,Nepal Bank Limited,113,298.00,294.00,296.00,61272.00,18162519.00,298.00,-2.00 
94,2019-04-04,Nepal Community Development Bank Ltd.,9,126.00,121.00,125.00,649.00,79647.00,121.00,4.00 
95,2019-04-04,Nepal Credit And Commercial Bank Limited,231,227.00,220.00,223.00,111771.00,25008869.00,223.00,0.00 
96,2019-04-04,Nepal Doorsanchar Comapany Limited,25,687.00,677.00,685.00,2575.00,1746749.00,684.00,1.00 
97,2019-04-04,Nepal Hydro Developers Ltd.,10,127.00,123.00,123.00,270.00,33790.00,127.00,-4.00 
98,2019-04-04,Nepal Insurance Co. Ltd.,48,377.00,368.00,375.00,9004.00,3361882.00,383.00,-8.00 
99,2019-04-04,Nepal Investment Bank Limited,92,537.00,534.00,535.00,10843.00,5809414.00,535.00,0.00 
100,2019-04-04,Nepal Investment Bank Ltd. Promoter Share,9,496.00,493.00,493.00,3420.00,1691777.00,494.00,-1.00 
101,2019-04-04,Nepal Life Insurance Co. Ltd.,78,1099.00,1086.00,1089.00,4311.00,4715420.00,1095.00,-6.00 
102,2019-04-04,Nepal SBI Bank Limited,45,405.00,395.00,403.00,13408.00,5386343.00,398.00,5.00 
103,2019-04-04,Nepal Seva Laghubitta Bittiya Sanstha Ltd.,26,507.00,496.00,507.00,260.00,130760.00,515.00,-8.00 
104,2019-04-04,Nerude Laghubita Bikas Bank Limited,6,455.00,448.00,448.00,475.00,213037.00,455.00,-7.00 
105,2019-04-04,Ngadi Group Power Ltd.,13,124.00,119.00,124.00,628.00,77171.00,123.00,1.00 
106,2019-04-04,NIBL Samriddhi Fund 1,2,8.70,8.57,8.70,8000.00,69587.00,8.41,0.29 
107,2019-04-04,NIC Asia Bank Ltd.,393,444.00,431.00,440.00,107396.00,47180690.00,436.00,4.00 
108,2019-04-04,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,10,750.00,735.00,735.00,559.00,415071.00,748.00,-13.00 
109,2019-04-04,NLG Insurance Company Ltd.,17,805.00,791.00,795.00,894.00,714986.00,796.00,-1.00 
110,2019-04-04,NMB  Microfinance Bittiya Sanstha Ltd.,14,1000.00,975.00,1000.00,418.00,414843.00,1000.00,0.00 
111,2019-04-04,NMB Bank Limited,158,339.00,334.00,336.00,37453.00,12600385.00,338.00,-2.00 
112,2019-04-04,NMB Hybrid Fund L-1,13,9.60,9.41,9.41,114402.00,1087421.10,9.44,-0.03 
113,2019-04-04,NMB Sulav Investment Fund-1,9,10.50,10.30,10.31,26804.00,277472.86,10.30,0.01 
114,2019-04-04,Oriental Hotels Limited,7,444.00,433.00,438.00,627.00,276653.00,441.00,-3.00 
115,2019-04-04,Panchakanya Mai Hydropower Ltd,85,112.00,108.00,110.00,850.00,93180.00,111.00,-1.00 
116,2019-04-04,Pokhara Finance Ltd.,26,133.00,130.00,131.00,1103.00,145615.00,133.00,-2.00 
117,2019-04-04,Prabhu  Bank Limited,142,246.00,242.00,244.00,39856.00,9723423.00,245.00,-1.00 
118,2019-04-04,Prabhu  Bank Limited Promoter Share,2,150.00,150.00,150.00,35816.00,5372400.00,150.00,0.00 
119,2019-04-04,Prabhu Insurance Ltd.,27,410.00,406.00,407.00,5150.00,2098269.00,407.00,0.00 
120,2019-04-04,Premier Insurance Co. Ltd.,61,1018.00,1007.00,1016.00,2757.00,2786071.00,1018.00,-2.00 
121,2019-04-04,Prime Commercial Bank Ltd.,82,326.00,322.00,323.00,18343.00,5951674.00,324.00,-1.00 
122,2019-04-04,Prime Life Insurance Company Limited,30,450.00,441.00,447.00,2708.00,1204183.00,450.00,-3.00 
123,2019-04-04,Prudential Insurance Co. Ltd.,12,685.00,671.00,685.00,1490.00,1010034.00,682.00,3.00 
124,2019-04-04,Purnima Bikas Bank Ltd. Promoter Share,2,210.48,210.48,210.48,11.00,2299.00,210.48,0.00 
125,2019-04-04,Radhi Bidyut Company Ltd,45,173.00,165.00,173.00,552.00,92754.00,168.00,5.00 
126,2019-04-04,Rairang Hydropower Development Company Ltd.,35,94.00,91.00,91.00,480.00,44140.00,93.00,-2.00 
127,2019-04-04,Rastriya Beema Company Limited,4,9150.00,9100.00,9150.00,52.00,475200.00,9100.00,50.00 
128,2019-04-04,Rastriya Beema Company Limited Promoter Share,20,8500.00,8331.00,8331.00,341.00,2872400.00,8670.00,-339.00 
129,2019-04-04,Reliance Finance Ltd.,2,118.00,116.00,116.00,170.00,19980.00,117.00,-1.00 
130,2019-04-04,Ridi Hydropower Development Company Ltd.,7,95.00,94.00,95.00,134.00,12683.00,95.00,0.00 
131,2019-04-04,RMDC Laghubitta Bittiya Sanstha Ltd.,5,532.00,532.00,532.00,350.00,186200.00,530.00,2.00 
132,2019-04-04,RSDC Laghubitta Bittiya Sanstha Ltd.,28,372.00,358.00,358.00,1444.00,521960.00,363.00,-5.00 
133,2019-04-04,Sagarmatha Insurance Co. Ltd.,5,1299.00,1280.00,1299.00,195.00,250290.00,1275.00,24.00 
134,2019-04-04,Sahayogi Bikas Bank Limited,3,200.00,197.00,197.00,2024.00,401728.00,201.00,-4.00 
135,2019-04-04,Samata Microfinance Bittiya Sanstha Ltd.,9,1218.00,1172.00,1218.00,114.00,135946.00,1203.00,15.00 
136,2019-04-04,Samudayik Laghubitta Bittiya Sanstha Limited,50,680.00,670.00,670.00,1273.00,1228240.00,680.00,-10.00 
137,2019-04-04,Sana Kisan Bikas Bank Ltd,36,872.00,855.00,862.00,2717.00,2340247.00,860.00,2.00 
138,2019-04-04,Sanima Bank Limited,77,315.00,309.00,313.00,21193.00,6621358.00,315.00,-2.00 
139,2019-04-04,Sanima Equity Fund,1,9.09,9.09,9.09,10000.00,90900.00,9.09,0.00 
140,2019-04-04,Sanima Mai Hydropower Ltd.,29,230.00,227.00,228.00,4150.00,950084.00,230.00,-2.00 
141,2019-04-04,Shangrila Development Bank Ltd.,18,147.00,144.00,144.00,9692.00,1407423.00,147.00,-3.00 
142,2019-04-04,Shangrila Development Bank Ltd. Promoter Share,1,118.00,118.00,118.00,2085.00,246030.00,118.00,0.00 
143,2019-04-04,Shikhar Insurance Co. Ltd.,23,877.00,866.00,866.00,2613.00,2278162.00,872.00,-6.00 
144,2019-04-04,Shine Resunga Development Bank Ltd.,38,235.00,229.00,233.00,14004.00,3230255.00,236.00,-3.00 
145,2019-04-04,SHIVAM CEMENTS LTD,304,330.00,320.00,321.00,33290.00,10775400.00,325.00,-4.00 
146,2019-04-04,Shree Investment Finance Co. Ltd.,3,137.00,134.00,134.00,507.00,69179.00,136.00,-2.00 
147,2019-04-04,Shrijana Finance  (Bittaya Sanstha),1,211.00,211.00,211.00,100.00,21100.00,215.00,-4.00 
